,0
0,Mississippi
1,Delaware
2,Connecticut
3,New Mexico
4,Virginia
5,Montana
6,Illinois
7,Hawaii
8,West Virginia
9,Vermont
10,New Jersey
11,Florida
12,Utah
13,Wyoming
14,Michigan
15,Kentucky
16,Indiana
17,South Dakota
18,Louisiana
19,Rhode Island
20,Maryland
21,New Hampshire
22,Maine
23,Massachusetts
24,Tennessee
25,Minnesota
26,Alaska
27,Oregon
28,California
29,Arizona
30,North Carolina
31,Washington
32,Missouri
33,North Dakota
34,South Carolina
35,Georgia
36,Iowa
37,Nebraska
38,Oklahoma
39,Idaho
40,Alabama
41,Arkansas
42,Nevada
43,Colorado
